,t1w_diff,t2w_diff,t3w_diff,t4w_diff,t1b_diff,t2b_diff,t3b_diff,t4b_diff
145,-0.00520471,0.21208,0.243476,-0.0533774,-0.04294,0.29003,0.308571,0.148273
146,0.245394,0.148096,0.0304058,-0.0852706,0.268997,0.109707,-0.0801298,0.180523
147,0.111986,0.222448,0.387577,5.13e-05,0.386423,-0.0134458,0.184126,-0.171984
148,-0.000330357,0.0748096,0.03578,-0.0206988,-0.00731933,0.161483,0.0596134,0.063985
150,0.0804292,0.110154,0.0265429,0.119053,0.14261,0.11029,-0.0433272,0.0993418
151,0.290009,0.114821,0.0982695,-0.0643054,0.0295875,0.287698,0.17141,0.0097933
152,0.218466,0.0375437,0.179785,0.349814,0.0281633,0.0995307,0.187623,0.166059
153,0.18455,0.0256561,0.113382,0.161698,0.340224,-0.132819,-0.200636,0.251712
154,0.208716,0.048793,0.170297,-0.0885674,0.214085,0.0553157,0.00809307,-0.0341519
155,-0.0435358,0.0318982,0.0364642,0.121,-0.0572191,0.0498178,0.0648846,0.140326
156,0.0968792,0.191709,0.17296,0.132851,0.311065,0.254375,0.301886,0.128934
158,0.151803,0.330716,0.11735,0.141172,0.185452,0.317238,0.118861,0.0643737
160,0.158043,0.162609,0.0625665,-0.019771,-0.0167635,0.275248,-0.0335729,-0.0420214
161,0.175649,0.243507,0.0467309,0.101984,0.314997,0.0982146,0.087373,0.0499142
162,0.226638,0.187443,0.0329811,0.116222,0.326086,0.325756,0.251143,0.233689
163,0.152196,0.13794,0.000522059,0.0778025,0.0040033,0.192711,0.180246,0.119849
165,-0.194163,0.0389659,-0.0443252,-0.0295644,0.096992,-0.00593468,0.039618,0.0144939
166,0.364566,0.135062,0.0699496,-0.104481,0.424168,0.383969,-0.0667099,0.0180694
167,0.096866,0.287512,0.162014,-0.00195329,0.132553,0.0270521,0.143906,0.046335
168,0.142732,0.0440267,0.119166,0.179986,-0.0562106,0.247469,-0.10017,0.372325
169,0.105465,0.101136,0.0356842,-0.0124051,0.053951,-0.0451341,-0.0905814,-0.0865685
170,-0.0726342,-0.157508,-0.0304572,-0.0283515,-0.0974376,-0.162984,0.000270492,-0.0289663
171,0.153034,0.100571,-0.0231156,-0.0713533,0.371565,0.299903,-0.119358,0.366697
172,0.052618,-0.00191022,0.142624,0.313178,0.363403,0.0217869,0.272696,0.144916
173,0.213107,0.199322,-0.00270526,0.277975,0.0904342,0.129139,0.244209,0.149184
174,0.224815,0.0174775,-0.0490759,0.168988,0.146443,0.33622,0.124907,0.223815
175,0.0803235,0.117164,0.0478112,0.0238297,-0.0719376,0.0524932,0.0672275,0.046616
176,0.116025,0.0515427,-0.0607817,-0.1205,0.13026,0.0271149,0.0447954,0.117187
177,0.283977,0.0192745,-0.11117,0.0943834,0.120347,0.0773333,-0.0219643,0.135911
178,0.0925845,0.0140017,0.0112938,0.219287,0.316127,0.386011,0.314277,0.206985
179,0.121086,0.0635451,0.0462602,-0.0445083,0.16403,-0.0399236,0.153703,0.00740357
180,0.255928,0.179087,0.138049,0.119644,0.193508,0.281692,0.0721423,0.10658
181,0.0730064,0.0524864,0.0382128,0.156205,0.396503,0.0972144,0.0381327,0.106319
182,0.0744989,0.0821595,-0.0130826,0.15184,0.00646615,-0.0602122,-0.0758342,-0.00524333
183,0.169317,0.137929,0.0346605,0.0455646,0.05346,0.279247,0.0936078,0.0754181
184,0.123924,0.0839815,0.0367562,0.0705542,0.404611,0.369527,0.212191,0.148803
185,0.175428,0.065138,-0.019194,0.0706288,0.229708,0.117047,0.181067,0.0999888
186,0.0587224,-0.0185467,0.178563,0.142519,0.014098,-0.0838056,0.0957915,0.1861
188,0.0907795,0.0650462,-0.0780968,-0.0430413,-0.00880933,0.0183403,-0.0109884,0.172174
189,0.146467,-0.117422,0.0701176,0.051706,-0.00877564,0.273209,0.238481,0.0262179
190,0.298874,0.40569,0.154088,0.0404953,0.170615,0.308961,0.0264765,0.00305417
191,0.0554686,0.0985646,0.137046,-0.040028,0.0967769,-0.0633854,0.063452,0.0473387
192,0.14212,0.172966,0.220229,-0.0660778,0.125496,0.233943,0.272643,0.139661
194,-0.205814,0.123422,-0.0230556,0.0492568,-0.0266626,0.153689,0.0882251,0.183575
196,0.111225,0.0388165,0.0202863,-0.0648246,0.0889516,-0.0079452,-0.0291529,0.108546
198,0.152335,0.0965646,0.140238,0.0269804,0.265583,0.0901547,0.187089,0.067989
199,0.0238682,0.0961324,0.211324,0.000442119,0.0464626,-0.0574088,0.0809717,-0.0289898
