,Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
77,59,-9.0,-47.0,48.0,0.9959999918937683,36
78,60,-12.0,-54.0,-41.0,0.9959999918937683,21
79,61,32.0,-16.0,56.0,0.9900000095367432,81
80,62,40.0,17.0,19.0,0.9900000095367432,21
81,63,43.0,-61.0,-9.0,0.9900000095367432,61
82,64,-32.0,-84.0,17.0,0.9900000095367432,22
83,65,-48.0,-29.0,31.0,0.9900000095367432,79
84,65a,-55.0,-31.0,27.0,0.972000002861023,
85,66,36.0,-61.0,34.0,0.9900000095367432,257
86,66a,36.0,-65.0,41.0,0.9900000095367432,
87,66b,30.0,-57.0,39.0,0.9900000095367432,
88,67,-10.0,-86.0,-4.0,0.9900000095367432,186
89,68,22.0,-41.0,-2.0,0.9900000095367432,77
90,69,17.0,-51.0,-3.0,0.9900000095367432,33
91,70,17.0,-28.0,5.0,0.9900000095367432,48
92,71,15.0,-60.0,1.0,0.9900000095367432,20
93,72,31.0,-52.0,-1.0,0.9900000095367432,20
94,73,30.0,35.0,33.0,0.9900000095367432,20
95,74,26.0,-55.0,0.0,,134
96,75,20.0,-52.0,-4.0,0.9900000095367432,117
97,76,5.0,-30.0,-2.0,0.9860000014305115,45
98,77,12.0,-88.0,19.0,0.984000027179718,32
99,78,45.0,-44.0,41.0,0.984000027179718,47
100,79,45.0,-30.0,34.0,0.984000027179718,191
101,79a,39.0,-37.0,34.0,0.984000027179718,
102,79b,47.0,-33.0,39.0,,
103,80,22.0,-47.0,58.0,0.984000027179718,90
104,81,48.0,-38.0,36.0,0.984000027179718,21
105,82,14.0,-84.0,23.0,0.984000027179718,20
106,83,15.0,-93.0,10.0,,37
107,84,19.0,-79.0,0.0,0.984000027179718,42
108,85,53.0,-3.0,20.0,0.984000027179718,37
109,86,11.0,-82.0,28.0,0.984000027179718,55
110,87,10.0,-87.0,-4.0,0.984000027179718,71
111,88,16.0,-87.0,15.0,0.984000027179718,40
112,89,8.0,-86.0,23.0,0.984000027179718,40
113,90,-15.0,-78.0,18.0,0.984000027179718,28
114,91,-49.0,-17.0,37.0,0.984000027179718,33
115,92,-9.0,15.0,59.0,0.984000027179718,21
116,93,24.0,-78.0,32.0,0.984000027179718,40
117,94,-8.0,-92.0,15.0,0.984000027179718,21
118,95,-53.0,-7.0,19.0,0.984000027179718,117
